year,country_of_production,port_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob
"2015","ARGENTINA","SAN LORENZO","BANDAGRO S A","BANDAGRO S A","ALGERIA","ALGERIA","437084.11999999994","76505641.26"
"2015","ARGENTINA","SAN LORENZO","UNKNOWN","UNKNOWN","VIETNAM","VIETNAM","316989.36","58412933.10000001"
"2015","ARGENTINA","SAN LORENZO","BMS GRAINS S A","BMS GRAINS S A","EGYPT","EGYPT","284803.83999999997","48797211.029999994"
"2015","ARGENTINA","ROSARIO","ADM ARGENTINA S A","ADM","EGYPT","EGYPT","267562","49405613"
"2015","ARGENTINA","SAN LORENZO","NIDERA ARGENTINA","COFCO","VIETNAM","VIETNAM","256524.99999999997","46845131.41"
"2015","ARGENTINA","SAN LORENZO","ADM ARGENTINA S A","ADM","INDONESIA","INDONESIA","254529.776","44927290.9"
"2015","ARGENTINA","ROSARIO","TOMAS HNOS Y CIA S A","TOMAS HNOS Y CIA S A","ALGERIA","ALGERIA","221229.48099999997","39036082.39"
"2015","ARGENTINA","SAN LORENZO","NOBLE ARGENTINA S.A.","COFCO","VENEZUELA","VENEZUELA","200500","37158347.150000006"
"2015","ARGENTINA","SAN LORENZO","LOS GROBO AGROPECUARIA SA","LOS GROBO AGROPECUARIA SA","MOROCCO","MOROCCO","199410.5","34995555.52"
"2015","ARGENTINA","ROSARIO","CARGILL SACI.","CARGILL","ALGERIA","ALGERIA","197009.79100000003","36171603.82"
"2015","ARGENTINA","SAN LORENZO","NIDERA ARGENTINA","COFCO","INDONESIA","INDONESIA","174945.1","32722114.31"
"2015","ARGENTINA","SAN LORENZO","VICENTIN SAIC.","VICENTIN","VIETNAM","VIETNAM","174864","29609088"
"2015","ARGENTINA","SAN LORENZO","NOBLE ARGENTINA S.A.","COFCO","SAUDI ARABIA","SAUDI ARABIA","172330","31405594.75"
"2015","ARGENTINA","SAN LORENZO","BUNGE ARGENTINA SA","BUNGE","ALGERIA","ALGERIA","169585.5","31125434.51"
"2015","ARGENTINA","SAN LORENZO","BRUNO TESAN S A","BRUNO TESAN S A","MALAYSIA","MALAYSIA","167569.43999999997","29306795.880000003"
"2015","ARGENTINA","SAN LORENZO","NOBLE ARGENTINA S.A.","COFCO","CUBA","CUBA","163450","29772458.56"
"2015","ARGENTINA","ROSARIO","ALFRED C TOEPFER INTERNATIONAL ARGENTINA S R L","ADM","EGYPT","EGYPT","157566.96000000002","29007193.68"
"2015","ARGENTINA","SAN LORENZO","NOBLE ARGENTINA S.A.","COFCO","VIETNAM","VIETNAM","149929.25","26531272.75"
"2015","ARGENTINA","SAN LORENZO","NOBLE ARGENTINA S.A.","COFCO","ALGERIA","ALGERIA","147859.154","26839805.25"
"2015","ARGENTINA","SAN LORENZO","TILO SCA","TILO SCA","SAUDI ARABIA","SAUDI ARABIA","143309","26484050.150000002"
"2015","ARGENTINA","SAN LORENZO","VICENTIN SAIC.","VICENTIN","MALAYSIA","MALAYSIA","142615","23146935"
"2015","ARGENTINA","ROSARIO","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","VIETNAM","VIETNAM","131055.41","23096697.62"
"2015","ARGENTINA","SAN LORENZO","MOLINOS RIO DE LA PLATA SA.","PEREZ COMPANC FAMILY GROUP","INDONESIA","INDONESIA","130722.4","21693624.88"
"2015","ARGENTINA","SAN LORENZO","BUNGE ARGENTINA SA","BUNGE","SAUDI ARABIA","SAUDI ARABIA","129042","23551472.150000002"
"2015","ARGENTINA","SAN LORENZO","VICENTIN SAIC.","VICENTIN","EGYPT","EGYPT","128308","21904590"
"2015","ARGENTINA","SAN LORENZO","BUNGE ARGENTINA SA","BUNGE","MALAYSIA","MALAYSIA","126918","22912335"
"2015","ARGENTINA","ROSARIO","LARTIRIGOYEN Y CIA.S.A.","LARTIRIGOYEN Y CIA.S.A.","INDONESIA","INDONESIA","126589.27500000001","24491443.310000002"
"2015","ARGENTINA","SAN LORENZO","CURCIJA S A","CURCIJA S A","VENEZUELA","VENEZUELA","123000","22154100"
"2015","ARGENTINA","ROSARIO","PARAMERICA S A","PARAMERICA S A","VENEZUELA","VENEZUELA","121000","38581050"
"2015","ARGENTINA","SAN LORENZO","GRANELES ANDINOS S A","GRANELES ANDINOS S A","INDONESIA","INDONESIA","120701.85","21872947.75"
"2015","ARGENTINA","VILLA CONSTITUCION","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","CUBA","CUBA","118643.28","22504371.749999996"
"2015","ARGENTINA","ROSARIO","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","ALGERIA","ALGERIA","116979.99999999999","20298739.44"
"2015","ARGENTINA","SAN LORENZO","NIDERA ARGENTINA","COFCO","ALGERIA","ALGERIA","110468.7","19784691.51"
"2015","ARGENTINA","SAN LORENZO","NIDERA ARGENTINA","COFCO","MALAYSIA","MALAYSIA","107044","19732926"
"2015","ARGENTINA","ROSARIO","CARGILL SACI.","CARGILL","MALAYSIA","MALAYSIA","104017.905","19344279.979999997"
"2015","ARGENTINA","SAN LORENZO","ACEITERA GENERAL DEHEZA SA.","ACEITERA GENERAL DEHEZA SA.","EGYPT","EGYPT","101700","18127770.12"
"2015","ARGENTINA","SAN LORENZO","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","MALAYSIA","MALAYSIA","99580.20000000001","18654481.48"
"2015","ARGENTINA","ROSARIO","ADM ARGENTINA S A","ADM","INDONESIA","INDONESIA","99294","18374950"
"2015","ARGENTINA","SAN LORENZO","BUNGE ARGENTINA SA","BUNGE","INDONESIA","INDONESIA","98200","18587820.31"
"2015","ARGENTINA","BAHIA BLANCA","BUNGE ARGENTINA SA","BUNGE","SAUDI ARABIA","SAUDI ARABIA","97334","16506563"
"2015","ARGENTINA","SAN LORENZO","NIDERA ARGENTINA","COFCO","JORDAN","JORDAN","97189.95","16974463.490000002"
"2015","ARGENTINA","ROSARIO","PRODUCTOS SUDAMERICANOS S A","PRODUCTOS SUDAMERICANOS S A","MALAYSIA","MALAYSIA","94337.60399999999","16010038.75"
"2015","ARGENTINA","SAN LORENZO","TILO SCA","TILO SCA","PERU","PERU","92392.05","16023121.66"
"2015","ARGENTINA","SAN LORENZO","ACEITERA GENERAL DEHEZA SA.","ACEITERA GENERAL DEHEZA SA.","SOUTH AFRICA","SOUTH AFRICA","91280","15323740"
"2015","ARGENTINA","VILLA CONSTITUCION","UNKNOWN","UNKNOWN","CUBA","CUBA","91251.07","17013549.189999998"
"2015","ARGENTINA","ROSARIO","NIDERA ARGENTINA","COFCO","VIETNAM","VIETNAM","90800","16524262.4"
"2015","ARGENTINA","SAN LORENZO","BMS GRAINS S A","BMS GRAINS S A","YEMEN","YEMEN","90230.3","15391217.11"
"2015","ARGENTINA","ROSARIO","CARGILL SACI.","CARGILL","UNITED KINGDOM","EUROPEAN UNION","90194.541","19879393.42"
