year,country_of_production,port_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob
"2015","ARGENTINA","SANTA FE","ALGODONERA AVELLANEDA S.A. X","VICENTIN","URUGUAY","URUGUAY","13093.5","1789631.65"
"2015","ARGENTINA","SAN LORENZO","ALGODONERA AVELLANEDA S.A. X","VICENTIN","UNITED STATES","UNITED STATES","13054.5","1435995"
"2015","ARGENTINA","SAN LORENZO","CARGILL SACI.","CARGILL","UNITED STATES","UNITED STATES","13054.5","1435995"
"2015","ARGENTINA","SANTA FE","LAS TACUARITAS MANDATARIA SOCIEDAD DE RESPONSABILIDAD L","LAS TACUARITAS MANDATARIA SOCIEDAD DE RESPONSABILIDAD L","URUGUAY","URUGUAY","6829","927799"
"2015","ARGENTINA","SAN LORENZO","ALGODONERA AVELLANEDA S.A. X","VICENTIN","UNITED STATES","UNITED STATES","6444.44438","4574592.5"
"2015","ARGENTINA","SANTA FE","SOCIEDAD COMERCIAL DEL SUR S A","SOCIEDAD COMERCIAL DEL SUR S A","UNITED STATES","UNITED STATES","6274.04","1262427.5999999999"
"2015","ARGENTINA","SANTA FE","ALGODONERA AVELLANEDA S.A. X","VICENTIN","PARAGUAY","PARAGUAY","6195.9","946894.7"
"2015","ARGENTINA","SAN LORENZO","BUYATTI SAICA","BUYATTI SAICA","UNITED STATES","UNITED STATES","5666.66661","3945100"
"2015","ARGENTINA","SAN LORENZO","ALGODONERA AVELLANEDA S.A. X","VICENTIN","SOUTH AFRICA","SOUTH AFRICA","4722.222175","3239067.5"
"2015","ARGENTINA","BUENOS AIRES","ALGODONERA AVELLANEDA S.A. X","VICENTIN","SINGAPORE","SINGAPORE","4264.1399999999985","4498553.900000002"
"2015","ARGENTINA","SAN LORENZO","CARGILL SACI.","CARGILL","AUSTRALIA","AUSTRALIA","4222.22218","2932500"
"2015","ARGENTINA","SAN LORENZO","CARGILL SACI.","CARGILL","SOUTH AFRICA","SOUTH AFRICA","4166.666625","2863225"
"2015","ARGENTINA","SAN LORENZO","ALGODONERA AVELLANEDA S.A. X","VICENTIN","AUSTRALIA","AUSTRALIA","3944.444405","2731700"
"2015","ARGENTINA","SANTA FE","CARGILL SACI.","CARGILL","PARAGUAY","PARAGUAY","3000","600000"
"2015","ARGENTINA","ROSARIO","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","SOUTH KOREA","SOUTH KOREA","2535.8600000000006","622957.14"
"2015","ARGENTINA","SANTA FE","ALGODONERA AVELLANEDA S.A. X","VICENTIN","BRAZIL","BRAZIL","2140.28","466490.47000000003"
"2015","ARGENTINA","SANTA FE","CARGILL SACI.","CARGILL","BRAZIL","BRAZIL","2058.67","699944.4"
"2015","ARGENTINA","BUENOS AIRES","UNKNOWN","UNKNOWN","INDIA","INDIA","2041.8190000000002","1669929.6600000001"
"2015","ARGENTINA","MENDOZA","SOGICO SA","SOGICO SA","CHILE","CHILE","1957.9990000000003","320427.51"
"2015","ARGENTINA","BUENOS AIRES","UNKNOWN","UNKNOWN","INDONESIA","INDONESIA","1946.5549999999998","1696926.5700000003"
"2015","ARGENTINA","BUENOS AIRES","UNKNOWN","UNKNOWN","SINGAPORE","SINGAPORE","1933.1000000000001","1929451.31"
"2015","ARGENTINA","CAMPANA","AGRONEGOCIOS JEWELL S R L","AGRONEGOCIOS JEWELL S R L","UNITED STATES","UNITED STATES","1890.8200000000002","346020.06"
"2015","ARGENTINA","SANTA FE","UNKNOWN","UNKNOWN","UNITED STATES","UNITED STATES","1830","396788.2"
"2015","ARGENTINA","CAMPANA","UNKNOWN","UNKNOWN","BRAZIL","BRAZIL","1783.0099999999998","249621.4"
"2015","ARGENTINA","BUENOS AIRES","INCOTEX SRL","INCOTEX SRL","INDONESIA","INDONESIA","1757.3310000000001","1136028.1600000001"
"2015","ARGENTINA","SAN LORENZO","CARGILL SACI.","CARGILL","UNITED STATES","UNITED STATES","1666.6666500000001","1194150"
"2015","ARGENTINA","SAN LORENZO","UNKNOWN","UNKNOWN","AUSTRALIA","AUSTRALIA","1666.6666500000001","1193500"
"2015","ARGENTINA","BUENOS AIRES","UNKNOWN","UNKNOWN","COLOMBIA","COLOMBIA","1602.8700000000001","1496887.98"
"2015","ARGENTINA","BUENOS AIRES","UNKNOWN","UNKNOWN","TURKEY","TURKEY","1536.4724999999996","1275289.87"
"2015","ARGENTINA","CAMPANA","AGRONEGOCIOS JEWELL S R L","AGRONEGOCIOS JEWELL S R L","SOUTH KOREA","SOUTH KOREA","1448","264984"
"2015","ARGENTINA","MENDOZA","CORPORACION RIO LUJAN S.A.","CORPORACION RIO LUJAN S.A.","CHILE","CHILE","1409.14","221113"
"2015","ARGENTINA","SANTA FE","ALGODONERA AVELLANEDA S.A. X","VICENTIN","UNITED STATES","UNITED STATES","1391.8899999999999","289439.93"
"2015","ARGENTINA","BUENOS AIRES","ALGODONERA AVELLANEDA S.A. X","VICENTIN","TURKEY","TURKEY","1376.2100000000003","1413424.75"
"2015","ARGENTINA","BUENOS AIRES","BUYATTI SAICA","BUYATTI SAICA","INDONESIA","INDONESIA","1290.2290000000003","1062422.66"
"2015","ARGENTINA","BUENOS AIRES","INCOTEX SRL","INCOTEX SRL","INDIA","INDIA","1277.91026","822194.6000000001"
"2015","ARGENTINA","ROSARIO","UNKNOWN","UNKNOWN","SOUTH KOREA","SOUTH KOREA","1263.1200000000001","309372.94"
"2015","ARGENTINA","BUENOS AIRES","ALFATRADE S.A.","ALFATRADE S.A.","SINGAPORE","SINGAPORE","1242.02","993494.55"
