year,country_of_production,port_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob
"2015","ARGENTINA","IGUAZU","ALTO PARANA SOCIEDAD ANONIMA X","ALTO PARANA SOCIEDAD ANONIMA X","BRAZIL","BRAZIL","135479.57699999984","102887072.92999998"
"2015","ARGENTINA","IGUAZU","SERENITY S A","SERENITY S A","BRAZIL","BRAZIL","34023.32200000003","25766656.999999993"
"2015","ARGENTINA","BERNARDO DE YRIGOYEN","ALTO PARANA SOCIEDAD ANONIMA X","ALTO PARANA SOCIEDAD ANONIMA X","BRAZIL","BRAZIL","2939.5109999999995","2286660.620000001"
"2015","ARGENTINA","MENDOZA","ALTO PARANA SOCIEDAD ANONIMA X","ALTO PARANA SOCIEDAD ANONIMA X","CHILE","CHILE","602.5010000000001","535856.4400000001"
"2015","ARGENTINA","SAN LUIS","PROCTER & GAMBLE ARGENTINA SC","PROCTER & GAMBLE ARGENTINA SC","CHILE","CHILE","179.245","150565.8"
"2015","ARGENTINA","CAMPANA","ALTO PARANA SOCIEDAD ANONIMA X","ALTO PARANA SOCIEDAD ANONIMA X","PANAMA","PANAMA","104.053","97901.87000000001"
"2015","ARGENTINA","CAMPANA","ALTO PARANA SOCIEDAD ANONIMA X","ALTO PARANA SOCIEDAD ANONIMA X","BRAZIL","BRAZIL","92.85885000000002","98777.02"
"2015","ARGENTINA","CAMPANA","UNKNOWN","UNKNOWN","PERU","PERU","78.899","75599.31"
"2015","ARGENTINA","CAMPANA","UNKNOWN","UNKNOWN","COLOMBIA","COLOMBIA","51.39","49224.97"
"2015","ARGENTINA","CAMPANA","UNKNOWN","UNKNOWN","BRAZIL","BRAZIL","34.957","25985.67"
"2015","ARGENTINA","CAMPANA","ALTO PARANA SOCIEDAD ANONIMA X","ALTO PARANA SOCIEDAD ANONIMA X","UNITED STATES","UNITED STATES","32.57","24208.5"
"2015","ARGENTINA","BUENOS AIRES","LA PAPELERA DEL PLATA SA.","LA PAPELERA DEL PLATA SA.","CHINA (MAINLAND)","CHINA (MAINLAND)","20.02","17938"
"2015","ARGENTINA","CAMPANA","ALTO PARANA SOCIEDAD ANONIMA X","ALTO PARANA SOCIEDAD ANONIMA X","CHINA (MAINLAND)","CHINA (MAINLAND)","14.861","13478.1"
"2015","ARGENTINA","EZEIZA","ALTO PARANA SOCIEDAD ANONIMA X","ALTO PARANA SOCIEDAD ANONIMA X","UNITED STATES","UNITED STATES","4.804","4349.42"
"2015","ARGENTINA","BUENOS AIRES","ALGODONERA ACONCAGUA SA.","ALGODONERA ACONCAGUA SA.","ITALY","EUROPEAN UNION","3.418","2221.7"
"2015","ARGENTINA","BUENOS AIRES","ALGODONERA ACONCAGUA SA.","ALGODONERA ACONCAGUA SA.","COLOMBIA","COLOMBIA","0.711","462.15"
