year,country_of_production,port_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob
"2015","BRAZIL","SUAPE","ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP","ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP","NETHERLANDS","EUROPEAN UNION","0.362","2876"
"2015","BRAZIL","URUGUAIANA","RAIZEN TARUMA","RAIZEN TARUMA","URUGUAY","URUGUAY","139383.71478","7584597"
"2015","BRAZIL","SANTANA DO LIVRAMENTO","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","URUGUAY","URUGUAY","24930.4329","1216032"
"2015","BRAZIL","JAGUARAO","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","URUGUAY","URUGUAY","39392.6706","1867235"
"2015","BRAZIL","CHUI","ARCO IRIS BRASIL IND COM DE PRODUTOS ALIMENTICIOS LTDA","ARCO IRIS BRASIL IND COM DE PRODUTOS ALIMENTICIOS LTDA","URUGUAY","URUGUAY","1.2476628","827"
"2015","BRAZIL","JAGUARAO","NARDINI AGROINDUSTRIAL","NARDINI AGROINDUSTRIAL","URUGUAY","URUGUAY","4929.7896","219912"
"2015","BRAZIL","SANTANA DO LIVRAMENTO","GUARANI","GUARANI","URUGUAY","URUGUAY","61706.0547","2729326"
"2015","BRAZIL","SANTOS","E D & F MAN BRASIL S/A.","E D & F MAN BRASIL S/A.","URUGUAY","URUGUAY","6573.0528","341206"
"2015","BRAZIL","JAGUARAO","E D & F MAN BRASIL S/A.","E D & F MAN BRASIL S/A.","URUGUAY","URUGUAY","19209.4425","847212"
"2015","BRAZIL","JAGUARAO","AKILA TRADING EXPORTADORA E IMPORTADORA","AKILA TRADING EXPORTADORA E IMPORTADORA","URUGUAY","URUGUAY","34736.7582","1575834"
"2015","BRAZIL","URUGUAIANA","RAIZEN ENERGIA S.A","RAIZEN ENERGIA S.A","URUGUAY","URUGUAY","47741.36058","1591167"
"2015","BRAZIL","SALVADOR","USINA SAO JOSE","USINA SAO JOSE","TURKEY","TURKEY","7189.2765","374019"
"2015","BRAZIL","SUAPE","USINA SAO JOSE","USINA SAO JOSE","TURKEY","TURKEY","2054.079","106849"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","TOGO","TOGO","100855.2789","4769751"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","TOGO","TOGO","147893.688","6604734"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","TOGO","TOGO","80519.8968","3580361"
"2015","BRAZIL","PARANAGUA","USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL","USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL","TOGO","TOGO","119821.275","6372596"
"2015","BRAZIL","PARANAGUA","USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL","USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL","TOGO","TOGO","74829.3372","3952283"
"2015","BRAZIL","SALVADOR","USINA SAO JOSE DO PINHEIRO LTDA","USINA SAO JOSE DO PINHEIRO LTDA","TOGO","TOGO","2670.3027","130617"
"2015","BRAZIL","SUAPE","USINA SERRA GRANDE SA","USINA SERRA GRANDE SA","TOGO","TOGO","38411.2773","2072027"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","DJIBOUTI","DJIBOUTI","2054.079","91390"
"2015","BRAZIL","SANTOS","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","TANZANIA","TANZANIA","22777.073415","939254"
"2015","BRAZIL","SANTOS","USINA SANTA FE S/A.","USINA SANTA FE S/A.","TANZANIA","TANZANIA","12324.474","551107"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","SOUTH AFRICA","SOUTH AFRICA","120163.6215","5943831"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","SOUTH AFRICA","SOUTH AFRICA","71682.79248","3456406"
"2015","BRAZIL","SANTOS","BIOSEV BIOENERGIA SA","LOUIS DREYFUS","SOUTH AFRICA","SOUTH AFRICA","8125.0236","331242"
"2015","BRAZIL","SANTOS","LOUIS DREYFUS","LOUIS DREYFUS","SOUTH AFRICA","SOUTH AFRICA","30811.185","1411056"
"2015","BRAZIL","SANTOS","TIMBRO COMERCIO EXTERIOR LTDA","TIMBRO COMERCIO EXTERIOR LTDA","SOUTH AFRICA","SOUTH AFRICA","8216.316","370940"
"2015","BRAZIL","SANTOS","AKILA TRADING EXPORTADORA E IMPORTADORA","AKILA TRADING EXPORTADORA E IMPORTADORA","SOUTH AFRICA","SOUTH AFRICA","50804.2206","2395865"
"2015","BRAZIL","SUAPE","USINA IPOJUCA S/A","USINA IPOJUCA S/A","SOUTH AFRICA","SOUTH AFRICA","76077","3500000"
"2015","BRAZIL","SANTOS","NOBLE BRASIL S/A","COFCO","SOUTH AFRICA","SOUTH AFRICA","16128.324","766856"
